变量名称,翻译变量,去重变量
res,结果,res_结果
result,结果,结果
TRANSLATE,翻译,翻译
TRANSLATION,翻译,译文
translator,翻译器,翻译器_
Translator,翻译器,翻译器大写
ChatMessage,聊天消息,聊天信息大写
chat_message,聊天消息,聊天信息_
chat_channel,聊天通道,聊天通道_
ChatChannel,聊天通道,聊天通道大写
contact,联系人,联系人_
contacts,联系人,联系人_列表
nd,节点,节点_缩写
node,节点,节点
get_head_image,获取头像_函数,获取头像_
get_head_img,获取头像_函数,获取头像__
get_access_token,获取访问令牌_函数,获取AccessToken_
fetch_access_token,获取访问令牌_函数,获取访问令牌_
VIDEO_URL,视频链接,视频网址_
video_url,视频链接,视频链接
trigger_prefix,触发前缀,触发前缀
trigger_prefixs,触发前缀,触发前缀s
voice_file,语音文件,语音文件_
voiceFile,语音文件,语音文件
fetch_voice_to_text,语音转文字_函数,语音转文本_获取
voiceToText,语音转文字_函数,语音转文字
GoogleVoice,谷歌语音,谷歌_语音
google_voice,谷歌语音,google_语音
timeout,超时时间,超时时间
TIMEOUT,超时时间,超时_时间
expiry_time,过期时间,有效期_截止
expired_time,过期时间,过期时间_
Channel,通道,通道大写
channel,通道,通道_
conf,配置,配置_
config,配置,配置_
retry_count,重试次数,重试次数_
retryTime,重试次数,重试时间
retry_cnt,重试次数,重试计数_
retries,重试次数,重试次数
retryCount,重试次数,重试计数
DingTalkMessage,钉钉消息,钉钉消息大写
dingtalk_message,钉钉消息,钉钉消息
error,错误,错误__
ERROR,错误,错误_
keys,键,键列
key,键,键
Queue,队列,队列
queue,队列,queue_实例
ali_voice,阿里语音,ali_语音
AliVoice,阿里语音,阿里语音
attachment,附件,附件_
ATTACHMENT,附件,附件
FeishuMessage,飞书消息,飞书消息大写
feishu_message,飞书消息,飞书消息
verify,验证_函数,验证
authenticate,验证_函数,验证_
